model,f1,accuracy,precision,recall,embedding
BERT + LinearSVC_OVR,0.8648,0.8832,0.8475,0.8832,BERT
Tuned LR (TF-IDF),0.8614,0.8801,0.8452,0.8801,TF-IDF (Tuned)
BERT + MLP,0.8588,0.871,0.8484,0.871,BERT
BoW + NaiveBayes,0.8562,0.8756,0.839,0.8756,BoW
BERT + RandomForest,0.8525,0.8725,0.8356,0.8725,BERT
GloVe + MLP,0.8483,0.8634,0.839,0.8634,GloVe
BoW + MLP,0.8465,0.8543,0.84,0.8543,BoW
GloVe + LinearSVC_OVR,0.8436,0.8634,0.8259,0.8634,GloVe
BERT + GBT_OVR,0.8419,0.8589,0.826,0.8589,BERT
GloVe + LogisticRegression,0.8409,0.8574,0.8371,0.8574,GloVe
Tuned W2V+LR,0.8407,0.0,0.0,0.0,Word2Vec (Tuned)
Tuned RF (TF-IDF),0.8385,0.8574,0.8219,0.8574,TF-IDF (Tuned)
BoW + GBT_OVR,0.8382,0.8558,0.8233,0.8558,BoW
TF-IDF + NaiveBayes,0.8358,0.8346,0.837,0.8346,TF-IDF
Tuned GBT_OVR (TF-IDF),0.835,0.8513,0.8218,0.8513,TF-IDF (Tuned)
GloVe + RandomForest,0.834,0.8528,0.8195,0.8528,GloVe
TF-IDF + GBT_OVR,0.8338,0.8513,0.8184,0.8513,TF-IDF
BoW + RandomForest,0.8326,0.8513,0.8162,0.8513,BoW
Word2Vec + LogisticRegression,0.8303,0.8483,0.8133,0.8483,Word2Vec
TF-IDF + RandomForest,0.8297,0.8483,0.8139,0.8483,TF-IDF
Improvement: Ensemble Voting (LR+RF+DT),0.8283,0.8467,0.814,0.8467,TF-IDF (Ensemble)
GloVe + GBT_OVR,0.8276,0.8452,0.812,0.8452,GloVe
Full Pipeline: Bigram+ChiSq+Weighted LR,0.8175,0.8134,0.8284,0.8134,Full Pipeline
Full Pipeline: Bigram+ChiSq+Weighted LR,0.8175,0.8134,0.8284,0.8134,Full Pipeline
BERT + LogisticRegression,0.8151,0.8118,0.8205,0.8118,BERT
BoW + LinearSVC_OVR,0.8146,0.827,0.8093,0.827,BoW
Word2Vec + GBT_OVR,0.8109,0.8255,0.7977,0.8255,Word2Vec
Word2Vec + LinearSVC_OVR,0.8095,0.8285,0.7918,0.8285,Word2Vec
TF-IDF + MLP,0.8029,0.8042,0.8055,0.8042,TF-IDF
TF-IDF + LinearSVC_OVR,0.8026,0.8149,0.8016,0.8149,TF-IDF
Word2Vec + RandomForest,0.7982,0.8164,0.7836,0.8164,Word2Vec
Word2Vec + DecisionTree,0.7935,0.8073,0.7811,0.8073,Word2Vec
GloVe + DecisionTree,0.7848,0.7967,0.7734,0.7967,GloVe
BERT + DecisionTree,0.7815,0.786,0.7773,0.786,BERT
Full Pipeline: Bigram+TF-IDF+DT,0.7698,0.783,0.7772,0.783,Full Pipeline
Improvement: TF-IDF + VADER + LR,0.7671,0.7648,0.7847,0.7648,TF-IDF+VADER (Improved)
Improvement: Weighted LR (TF-IDF),0.7603,0.7496,0.7827,0.7496,TF-IDF (Improved)
Word2Vec + MLP,0.7592,0.7785,0.7458,0.7785,Word2Vec
TF-IDF + LogisticRegression,0.7589,0.7527,0.7783,0.7527,TF-IDF
Improvement: Oversampled LR (TF-IDF),0.7552,0.7451,0.7767,0.7451,TF-IDF (Improved)
BoW + LogisticRegression,0.7546,0.7451,0.7816,0.7451,BoW
Baseline: BoW + LogisticRegression,0.7546,0.7451,0.7816,0.7451,
Improvement: ChiSq + N-gram TF-IDF + LR,0.7457,0.736,0.7744,0.736,N-gram Selected (Improved)
BoW + DecisionTree,0.7363,0.7527,0.7526,0.7527,BoW
Improvement: N-gram TF-IDF + LR,0.7315,0.7117,0.7759,0.7117,N-gram TF-IDF (Improved)
TF-IDF + DecisionTree,0.7296,0.7466,0.7482,0.7466,TF-IDF
